West Blue Mountain,10336,33.664997,-107.445787
Mount Ashland,7532,42.08086,-122.71696
O'Brien Mountain,6772,48.551014,-115.742833
Ladrones Benchmark,9210,34.434808,-107.085156
High Rock,5685,46.684411,-121.901519
Cinnabar Mountain,8403,42.980286,-116.657602
Bassett Peak,7663,32.506326,-110.280054
Crossman Peak,5100,34.548866,-114.188581
Big Gee,5080,48.449794,-121.813643
Eagle Peak,7484,30.92134,-105.085465
San Luis Peak,14014,37.98681,-106.931266
Mount Diablo,3849,37.88168,-121.914321
Mount Siyeh,10014,48.728643,-113.649901
Luna Peak,8311,48.830768,-121.272056
Diamond Peak,8744,43.520779,-122.149623
Bully Choop Mountain,6975,40.555213,-122.767153
Whiteface Mountain,4865,44.365795,-73.903219
South Pequop Benchmark,9249,40.924333,-114.589656
Worthington Peak,8968,37.917723,-115.611554
Aspen Butte,8208,42.315369,-122.08766
Wah Wah Mountains High Point,9393,38.354087,-113.586678
Olancha Peak,12123,36.265423,-118.118188
North Mamm Peak,11123,39.38655,-107.866082
Caribou Mountain,9803,43.093437,-111.311684
Kawich Peak,9401,37.961629,-116.461672
Snowbank Mountain,8320,44.440146,-116.125993
Big Lookout Mountain,7080,44.608797,-117.278331
Copernicus Peak,4360,37.34675,-121.63008
Black Butte,6436,44.399754,-121.635449
West Elk Peak,13035,38.717882,-107.199441
Black Crook Peak,9274,39.984506,-112.54044
McGuire Mountain,6991,48.683641,-115.202853
Big Craggy Peak,8470,48.763027,-120.327979
Heavens Peak,8987,48.708365,-113.856618
Huntsman Ridge,11852,39.192006,-107.366847
Nasukoin Mountain,8086,48.795109,-114.577759
Graham Peak,7563,40.951669,-113.789656
Scapegoat Mountain,9202,47.30985,-112.829036
Dome Peak,8920,48.303663,-121.029117
Equinox Mountain,3840,43.165988,-73.117574
Mount Buckner,9114,48.494301,-120.999868
Rogers Peak,3706,45.664943,-123.548143
Pueblo Mountain,8632,42.099391,-118.650721
Mount Sneffels,14150,38.003776,-107.79227
Keynot Peak,11101,36.707586,-117.962623
Guadalupe Peak,8749,31.891483,-104.860727
Mount Callaghan,10187,39.709406,-116.950922
Rogers Benchmark,5775,48.740751,-117.742152
Mount Phillips,9494,48.477524,-113.525297
Bloody Run Peak,7907,41.171551,-117.767016
Potosi Mountain,8514,35.965493,-115.501549
Richland Balsam,6410,35.367588,-82.990335
Mount Scott,8929,42.922808,-122.01624
Anderson Mountain,3364,48.640618,-122.257012
Mine Camp Peak,10222,38.873682,-112.253407
Castle Peak,11280,39.772265,-106.830352
Logan Peak,9710,41.713482,-111.717745
Mount Index,5991,47.774362,-121.58041
Hyko Benchmark,7950,37.483385,-115.030349
Seven Troughs Benchmark,7795,40.51789,-118.821868
Mount Hamilton,10745,39.232362,-115.54136
Milford Needle,9582,38.384204,-112.815705
North Franklin Mountain,7192,31.903028,-106.493649
North Loon Mountain,9322,45.112467,-115.872809
Jay Peak,3858,44.924147,-72.525707
Mount Trumbull,8029,36.410041,-113.13849
Mount Bailey,8368,43.155287,-122.220046
Mount Powell,13560,39.76008,-106.340749
Doubletop Peak,11720,43.347325,-110.286436
Telegraph Hill,10154,39.744015,-114.872505
Giant Mountain,4626,44.161243,-73.720261
Spanish Fork Peak,10192,40.08795,-111.527854
Butt Mountain,7870,40.217586,-121.38627
